Server,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Coverage,Render time
0,20,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,21415,42626,21224,1,2,638.8774519,160,120,76800,0.58612104,10.453104
0,20,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,51533,102444,50946,1,2,6341.935034,160,120,76800,0.616719639,11.162633
0,20,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,321,89671,178109,88507,1,2,2295.496371,160,120,76800,0.6881587,31.065792
0,20,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,641,178541,354576,176205,1,2,12104.15696,160,120,76800,0.956082292,41.444234
0,20,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1254,172333,348439,176154,1,2,12331.34042,160,120,76800,0.715498502,69.429
0,20,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,38991,77269,38303,1,2,688.4603394,160,120,76800,0.500946195,11.242767
0,20,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,73199,145076,71908,1,2,1349.270189,160,120,76800,0.590724098,22.110443
0,20,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,321,147268,291458,144301,1,2,8598.163853,160,120,76800,0.696067387,23.348105
0,20,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,641,280949,557076,276177,1,2,14232.56631,160,120,76800,0.71231818,64.097092
0,20,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1281,587072,1162696,575969,1,2,13477.47097,160,120,76800,0.729728689,113.282366
0,20,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,38638,76593,37982,1,2,508.1484313,160,120,76800,0.432832348,13.817029
0,20,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,73821,146134,72372,1,2,2569.216172,160,120,76800,0.53174137,14.663148
0,20,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,305,65817,130740,64969,1,2,5314.370873,160,120,76800,0.386095807,11.387214
0,20,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,641,257369,510817,253525,1,2,11010.27031,160,120,76800,0.763047818,68.618059
0,20,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1281,582285,1152668,570775,1,2,24298.5747,160,120,76800,0.808576856,88.013171
0,20,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,38278,75816,37565,1,2,511.2094136,160,120,76800,0.533983847,11.68301
0,20,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,160,66626,131834,65262,1,2,5416.744066,160,120,76800,0.497111042,10.897355
0,20,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,321,146103,289319,143299,1,2,14092.14466,160,120,76800,0.526420064,18.790925
0,20,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,637,224388,445152,220862,1,2,8992.100455,160,120,76800,0.630385919,56.824917
0,20,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1244,381934,758417,376638,1,2,23754.02792,160,120,76800,0.910304615,94.955486
0,20,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,39182,77611,38461,1,2,602.4057481,160,120,76800,0.28427433,10.096455
0,20,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,158,61388,121835,60477,1,2,666.4037513,160,120,76800,0.673024583,28.219897
0,20,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,315,115888,229755,113928,1,2,9093.92631,160,120,76800,0.67435237,24.597827
0,20,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,640,257198,510603,253475,1,2,3950.392838,160,120,76800,0.582653418,85.605306
0,20,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1255,393558,781920,388492,1,2,94766.42556,160,120,76800,0.672402786,32.890439
0,40,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,27513,54681,27189,1,2,2049.553567,320,240,307200,0.659876198,8.855295
0,40,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,52303,103680,51435,1,2,3389.167857,320,240,307200,0.540265705,12.372148
0,40,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,320,94002,187260,93311,1,2,1512.242565,320,240,307200,0.687014282,18.60927
0,40,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,639,167705,335070,167430,1,2,3058.652699,320,240,307200,0.704279008,52.869424
0,40,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1281,355678,707693,352276,1,2,21809.84898,320,240,307200,0.854386501,73.513266
0,40,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,38260,75715,37482,1,2,2098.396966,320,240,307200,0.435281613,7.815299
0,40,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,76655,151711,75120,1,2,4038.693663,320,240,307200,0.286229361,9.460931
0,40,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,2,320,136993,271281,134383,1,2,4274.294152,320,240,307200,0.752306374,32.819038
0,40,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,2,641,292373,579416,287172,1,2,6113.364709,320,240,307200,0.575445461,123.094994
0,40,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,2,1281,588298,1164229,576368,1,2,61919.26598,320,240,307200,0.672238183,60.977518
0,40,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,2,81,38644,76440,37828,1,2,3939.809551,320,240,307200,0.669887517,6.598104
0,40,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,2,161,70887,140599,69766,1,2,3930.011342,320,240,307200,0.601769702,17.893164
